iter	Passed	Remaining
0	137	136912
1	138	68932
2	139	46220
3	139	34845
4	140	28020
5	141	23471
6	142	20232
7	143	17809
8	144	15931
9	146	14474
10	147	13229
11	148	12186
12	148	11299
13	149	10545
14	150	9878
15	151	9306
16	152	8797
17	153	8347
18	153	7950
19	154	7586
20	155	7264
21	156	6962
22	157	6693
23	158	6439
24	159	6206
25	160	6011
26	161	5824
27	162	5642
28	163	5471
29	164	5306
30	164	5156
31	165	5012
32	166	4881
33	167	4755
34	168	4637
35	168	4525
36	169	4417
37	170	4317
38	171	4221
39	172	4134
40	173	4049
41	173	3967
42	174	3889
43	175	3815
44	176	3750
45	177	3681
46	178	3614
47	179	3553
48	179	3490
49	180	3431
50	181	3374
51	182	3319
52	182	3267
53	183	3217
54	184	3170
55	185	3124
56	186	3078
57	186	3033
58	187	2991
59	188	2949
60	188	2907
61	189	2868
62	190	2831
63	191	2804
64	192	2770
65	193	2735
66	194	2702
67	194	2668
68	195	2636
69	196	2605
70	196	2573
71	197	2544
72	198	2515
73	198	2487
74	199	2460
75	200	2434
76	200	2407
77	201	2382
78	202	2357
79	202	2333
80	203	2309
81	204	2286
82	204	2260
83	205	2240
84	206	2224
85	207	2207
86	208	2187
87	209	2168
88	209	2148
89	210	2130
90	211	2111
91	212	2093
92	212	2075
93	213	2058
94	214	2041
95	214	2024
96	215	2007
97	216	1991
98	216	1974
99	217	1958
100	218	1943
101	219	1928
102	219	1914
103	220	1900
104	222	1892
105	222	1879
106	223	1868
107	224	1855
108	225	1842
109	226	1829
110	226	1817
111	227	1804
112	228	1794
113	229	1782
114	230	1770
115	230	1759
116	231	1747
117	232	1736
118	232	1724
119	233	1713
120	234	1703
121	235	1692
122	236	1685
123	237	1677
124	238	1668
125	239	1660
126	239	1649
127	240	1639
128	241	1630
129	242	1621
130	243	1612
131	243	1603
132	244	1595
133	245	1586
134	246	1577
135	246	1569
136	247	1560
137	248	1552
138	249	1543
139	249	1534
140	250	1526
141	251	1517
142	252	1511
143	253	1504
144	253	1497
145	254	1490
146	255	1482
147	256	1474
148	256	1467
149	257	1460
150	258	1452
151	259	1445
152	259	1438
153	260	1431
154	261	1424
155	261	1417
156	262	1410
157	263	1402
158	263	1396
159	264	1390
160	265	1382
161	266	1377
162	267	1373
163	268	1367
164	269	1361
165	269	1355
166	270	1349
167	271	1343
168	272	1337
169	272	1332
170	273	1326
171	274	1320
172	275	1314
173	275	1308
174	276	1303
175	277	1297
176	277	1291
177	278	1286
178	279	1280
179	280	1275
180	281	1272
181	282	1267
182	283	1264
183	284	1260
184	284	1254
185	285	1249
186	286	1245
187	287	1239
188	288	1236
189	288	1231
190	289	1227
191	290	1222
192	291	1217
193	291	1212
194	292	1208
195	293	1203
196	294	1199
197	295	1194
198	295	1190
199	296	1186
200	298	1185
201	298	1180
202	299	1176
203	300	1171
204	301	1168
205	301	1163
206	302	1159
207	303	1155
208	304	1150
209	304	1146
210	305	1143
211	306	1139
212	307	1135
213	308	1131
214	309	1129
215	310	1125
216	311	1122
217	312	1119
218	312	1116
219	313	1113
220	314	1110
221	315	1106
222	316	1102
223	317	1098
224	317	1094
225	318	1091
226	319	1087
227	320	1083
228	320	1079
229	321	1076
230	322	1072
231	322	1069
232	323	1065
233	324	1062
234	325	1058
235	325	1055
236	326	1051
237	327	1048
238	328	1046
239	329	1043
240	330	1040
241	331	1037
242	331	1033
243	332	1030
244	333	1026
245	333	1023
246	334	1019
247	335	1016
248	335	1013
249	336	1009
250	337	1006
251	338	1003
252	338	1000
253	339	996
254	339	993
255	340	990
256	341	987
257	342	985
258	343	984
259	344	980
260	345	977
261	346	974
262	346	972
263	347	969
264	348	966
265	349	963
266	349	960
267	350	956
268	351	954
269	351	951
270	352	948
